"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Figueira (PR)";"196";"5";"-";"18";"-";"1";"3";"109";"15";"8";"1";"-";"-";"4";"9";"2";"3";"9";"1";"8";"-";"-"
"Floraí (PR)";"147";"5";"-";"28";"-";"-";"4";"62";"15";"3";"1";"6";"1";"3";"2";"2";"5";"5";"2";"3";"-";"-"
"Flor da Serra do Sul (PR)";"146";"3";"-";"30";"-";"-";"2";"73";"26";"2";"-";"-";"-";"2";"1";"2";"1";"1";"-";"3";"-";"-"
"Floresta (PR)";"189";"2";"-";"26";"-";"-";"9";"91";"11";"13";"2";"1";"5";"8";"6";"2";"-";"3";"4";"6";"-";"-"
"Florestópolis (PR)";"317";"2";"-";"13";"-";"-";"14";"135";"85";"15";"2";"1";"1";"9";"6";"2";"6";"7";"2";"17";"-";"-"
"Flórida (PR)";"104";"-";"1";"15";"-";"-";"4";"43";"9";"1";"-";"-";"-";"6";"4";"6";"2";"3";"3";"7";"-";"-"
"Formosa do Oeste (PR)";"193";"4";"-";"25";"-";"-";"6";"114";"6";"6";"3";"2";"2";"6";"4";"2";"1";"6";"1";"5";"-";"-"
"Foz do Iguaçu (PR)";"9350";"13";"6";"398";"1";"18";"485";"4219";"494";"806";"207";"72";"131";"393";"802";"7";"278";"378";"140";"501";"-";"1"
"Francisco Alves (PR)";"187";"1";"-";"24";"-";"1";"2";"96";"18";"7";"1";"-";"1";"5";"5";"2";"11";"2";"2";"9";"-";"-"
"Francisco Beltrão (PR)";"4346";"30";"2";"422";"6";"6";"213";"1700";"451";"215";"92";"53";"92";"198";"197";"3";"105";"232";"39";"290";"-";"-"
"Foz do Jordão (PR)";"79";"1";"-";"9";"-";"-";"7";"36";"1";"3";"-";"-";"-";"2";"9";"3";"1";"2";"-";"5";"-";"-"
"General Carneiro (PR)";"372";"26";"-";"56";"1";"1";"15";"157";"36";"26";"6";"1";"-";"8";"3";"2";"11";"17";"2";"4";"-";"-"
"Godoy Moreira (PR)";"57";"-";"-";"2";"1";"-";"-";"27";"1";"1";"-";"-";"-";"2";"2";"3";"4";"-";"-";"14";"-";"-"
"Goioerê (PR)";"911";"14";"-";"74";"-";"-";"18";"445";"75";"37";"15";"6";"2";"32";"31";"3";"33";"32";"19";"75";"-";"-"
"Goioxim (PR)";"81";"10";"-";"6";"-";"-";"-";"45";"4";"4";"-";"-";"-";"2";"2";"2";"-";"3";"-";"3";"-";"-"
"Grandes Rios (PR)";"143";"1";"3";"18";"-";"-";"4";"77";"7";"5";"-";"1";"-";"4";"3";"2";"2";"6";"1";"9";"-";"-"
"Guaíra (PR)";"845";"5";"1";"86";"-";"-";"24";"445";"47";"62";"13";"4";"5";"24";"30";"2";"19";"31";"8";"39";"-";"-"
"Guairaçá (PR)";"122";"5";"-";"11";"-";"-";"1";"63";"22";"5";"1";"-";"3";"2";"2";"3";"-";"1";"1";"2";"-";"-"
"Guamiranga (PR)";"146";"1";"1";"17";"-";"-";"4";"55";"17";"2";"1";"-";"1";"4";"5";"3";"8";"4";"-";"23";"-";"-"
"Guapirama (PR)";"124";"2";"4";"19";"-";"-";"3";"58";"13";"5";"-";"-";"3";"2";"3";"2";"-";"3";"1";"6";"-";"-"
"Guaporema (PR)";"73";"3";"-";"14";"-";"-";"-";"17";"6";"-";"1";"-";"4";"3";"1";"2";"3";"3";"3";"13";"-";"-"
"Guaraci (PR)";"125";"2";"-";"13";"-";"-";"5";"55";"13";"7";"4";"-";"1";"4";"5";"2";"5";"2";"1";"6";"-";"-"
"Guaraniaçu (PR)";"464";"5";"1";"30";"-";"-";"14";"197";"56";"17";"5";"1";"-";"13";"18";"2";"21";"16";"4";"64";"-";"-"
"Guarapuava (PR)";"5288";"94";"2";"489";"10";"9";"263";"2304";"458";"312";"76";"38";"51";"228";"295";"6";"117";"221";"78";"237";"-";"-"
"Guaraqueçaba (PR)";"89";"5";"1";"6";"-";"-";"4";"33";"2";"15";"-";"-";"-";"2";"2";"2";"3";"-";"-";"14";"-";"-"
"Guaratuba (PR)";"1527";"5";"1";"85";"-";"6";"64";"659";"23";"261";"12";"7";"22";"27";"206";"8";"39";"21";"24";"57";"-";"-"
"Honório Serpa (PR)";"74";"3";"-";"3";"-";"1";"4";"39";"2";"3";"1";"1";"-";"1";"1";"4";"1";"2";"-";"8";"-";"-"
"Ibaiti (PR)";"1341";"17";"7";"87";"-";"2";"47";"744";"79";"89";"16";"11";"8";"38";"41";"4";"43";"42";"6";"60";"-";"-"
"Ibema (PR)";"141";"2";"-";"13";"-";"1";"1";"73";"14";"8";"1";"1";"-";"2";"2";"5";"1";"5";"2";"10";"-";"-"
"Ibiporã (PR)";"1487";"9";"5";"236";"-";"9";"78";"631";"84";"58";"20";"24";"24";"57";"72";"5";"64";"32";"16";"63";"-";"-"
"Icaraíma (PR)";"235";"1";"-";"21";"-";"-";"10";"115";"18";"10";"3";"-";"1";"7";"4";"2";"9";"7";"2";"25";"-";"-"
"Iguaraçu (PR)";"166";"5";"-";"10";"-";"1";"17";"59";"12";"20";"1";"3";"5";"6";"4";"2";"-";"3";"4";"14";"-";"-"
"Iguatu (PR)";"41";"-";"-";"1";"-";"-";"-";"31";"-";"1";"-";"-";"1";"-";"1";"2";"-";"1";"-";"3";"-";"-"
"Imbaú (PR)";"233";"12";"1";"26";"-";"-";"9";"112";"21";"17";"2";"1";"1";"3";"6";"2";"5";"6";"1";"8";"-";"-"
"Imbituva (PR)";"816";"25";"-";"197";"-";"-";"30";"351";"55";"22";"7";"6";"3";"15";"13";"2";"33";"18";"4";"35";"-";"-"
"Inácio Martins (PR)";"232";"20";"1";"29";"-";"-";"6";"83";"26";"5";"-";"-";"-";"4";"4";"2";"8";"9";"3";"32";"-";"-"
"Inajá (PR)";"60";"-";"2";"7";"-";"-";"3";"25";"7";"2";"1";"-";"-";"-";"2";"3";"2";"3";"1";"2";"-";"-"
"Indianópolis (PR)";"115";"-";"-";"19";"-";"-";"1";"53";"16";"5";"-";"-";"-";"1";"2";"2";"4";"6";"3";"3";"-";"-"
"Ipiranga (PR)";"306";"10";"1";"20";"-";"1";"18";"160";"27";"10";"3";"-";"-";"10";"5";"2";"4";"6";"5";"24";"-";"-"
"Iporã (PR)";"467";"1";"-";"73";"-";"1";"7";"232";"24";"21";"6";"2";"1";"15";"4";"3";"11";"17";"5";"44";"-";"-"
"Iracema do Oeste (PR)";"48";"2";"-";"5";"-";"-";"-";"31";"2";"1";"1";"-";"-";"-";"2";"2";"1";"-";"-";"1";"-";"-"
"Irati (PR)";"1588";"24";"2";"177";"-";"5";"72";"711";"97";"78";"23";"9";"13";"58";"41";"3";"70";"98";"22";"85";"-";"-"
"Iretama (PR)";"205";"7";"-";"8";"-";"-";"5";"93";"15";"9";"-";"-";"1";"7";"11";"8";"9";"6";"5";"21";"-";"-"
"Itaguajé (PR)";"118";"4";"-";"3";"-";"-";"4";"49";"16";"6";"-";"-";"2";"3";"8";"5";"2";"8";"2";"6";"-";"-"
"Itaipulândia (PR)";"282";"5";"-";"42";"-";"-";"34";"104";"26";"14";"5";"-";"5";"10";"8";"2";"2";"10";"5";"10";"-";"-"
"Itambaracá (PR)";"145";"10";"-";"5";"-";"1";"2";"65";"20";"6";"-";"-";"3";"6";"8";"2";"4";"5";"1";"7";"-";"-"
"Itambé (PR)";"161";"4";"2";"15";"-";"1";"5";"74";"12";"9";"2";"-";"1";"6";"6";"2";"6";"2";"1";"13";"-";"-"
"Itapejara d'Oeste (PR)";"406";"1";"-";"49";"1";"-";"14";"176";"80";"22";"2";"4";"3";"14";"4";"2";"4";"12";"4";"14";"-";"-"
"Itaperuçu (PR)";"663";"14";"2";"120";"-";"2";"142";"250";"40";"23";"-";"1";"1";"9";"14";"2";"9";"7";"3";"24";"-";"-"
"Itaúna do Sul (PR)";"62";"-";"-";"9";"-";"-";"3";"29";"4";"1";"-";"-";"-";"3";"1";"3";"3";"1";"-";"5";"-";"-"
"Ivaí (PR)";"247";"7";"-";"36";"-";"-";"10";"107";"8";"10";"2";"-";"3";"11";"4";"2";"10";"6";"3";"28";"-";"-"
"Ivaiporã (PR)";"1417";"16";"2";"111";"-";"1";"40";"780";"71";"80";"23";"11";"10";"52";"53";"5";"23";"64";"14";"61";"-";"-"
"Ivaté (PR)";"160";"2";"-";"17";"-";"-";"5";"67";"39";"8";"-";"1";"2";"3";"2";"2";"1";"7";"1";"3";"-";"-"
"Ivatuba (PR)";"47";"1";"-";"3";"-";"-";"1";"25";"1";"1";"-";"1";"-";"-";"7";"2";"1";"1";"2";"1";"-";"-"
"Jaboti (PR)";"120";"1";"-";"14";"-";"-";"4";"68";"9";"-";"-";"-";"-";"3";"2";"4";"1";"7";"1";"6";"-";"-"
"Jacarezinho (PR)";"1187";"21";"8";"77";"-";"1";"57";"559";"90";"64";"17";"11";"14";"40";"62";"3";"32";"61";"17";"53";"-";"-"
"Jaguapitã (PR)";"405";"12";"-";"64";"-";"1";"7";"158";"38";"16";"1";"2";"10";"8";"34";"2";"6";"12";"4";"30";"-";"-"
"Jaguariaíva (PR)";"1021";"55";"4";"92";"3";"2";"44";"441";"113";"63";"10";"4";"6";"28";"41";"4";"39";"25";"4";"43";"-";"-"
"Jandaia do Sul (PR)";"984";"6";"-";"137";"-";"6";"48";"481";"47";"43";"16";"5";"11";"34";"41";"3";"19";"41";"11";"35";"-";"-"
"Janiópolis (PR)";"140";"-";"-";"17";"-";"-";"-";"77";"2";"3";"-";"-";"2";"6";"2";"3";"11";"1";"1";"15";"-";"-"
"Japira (PR)";"95";"4";"2";"10";"-";"-";"3";"48";"1";"4";"1";"-";"1";"2";"1";"5";"3";"1";"-";"9";"-";"-"
"Japurá (PR)";"227";"3";"-";"60";"-";"1";"5";"100";"11";"4";"-";"1";"1";"7";"4";"3";"6";"6";"3";"12";"-";"-"
"Jardim Alegre (PR)";"404";"5";"-";"29";"-";"2";"16";"223";"53";"22";"2";"1";"5";"12";"5";"2";"7";"3";"8";"9";"-";"-"
"Jardim Olinda (PR)";"30";"1";"-";"3";"-";"1";"1";"10";"2";"3";"-";"-";"-";"-";"1";"2";"2";"2";"-";"2";"-";"-"
"Jataizinho (PR)";"406";"2";"-";"48";"-";"1";"16";"192";"25";"26";"5";"5";"2";"8";"28";"3";"8";"9";"5";"23";"-";"-"
"Jesuítas (PR)";"228";"11";"1";"30";"-";"-";"11";"111";"16";"10";"5";"1";"2";"5";"4";"2";"8";"3";"2";"6";"-";"-"
"Joaquim Távora (PR)";"416";"4";"-";"31";"-";"1";"9";"181";"67";"28";"5";"-";"5";"14";"9";"3";"13";"16";"6";"24";"-";"-"
"Jundiaí do Sul (PR)";"53";"2";"-";"1";"-";"-";"-";"29";"3";"3";"-";"-";"1";"2";"1";"2";"2";"1";"-";"6";"-";"-"
"Juranda (PR)";"199";"3";"-";"10";"-";"-";"5";"113";"13";"11";"3";"1";"1";"6";"5";"2";"8";"6";"-";"12";"-";"-"
"Jussara (PR)";"153";"2";"-";"26";"2";"2";"1";"54";"29";"4";"-";"1";"1";"4";"3";"3";"6";"4";"2";"9";"-";"-"
"Kaloré (PR)";"134";"-";"-";"17";"-";"2";"1";"84";"6";"5";"1";"-";"1";"3";"1";"3";"1";"4";"3";"2";"-";"-"
"Lapa (PR)";"1029";"17";"8";"77";"-";"2";"35";"488";"120";"70";"16";"6";"4";"32";"28";"4";"50";"22";"12";"38";"-";"-"
"Laranjal (PR)";"72";"-";"-";"4";"-";"-";"1";"32";"2";"6";"-";"-";"-";"4";"1";"3";"2";"1";"1";"15";"-";"-"
"Laranjeiras do Sul (PR)";"983";"6";"1";"71";"-";"1";"35";"430";"56";"60";"15";"9";"9";"38";"48";"6";"43";"53";"14";"88";"-";"-"
"Leópolis (PR)";"68";"-";"-";"6";"-";"-";"1";"36";"3";"2";"-";"-";"2";"2";"1";"2";"6";"-";"1";"6";"-";"-"
"Lidianópolis (PR)";"176";"1";"-";"17";"-";"1";"3";"68";"20";"13";"-";"-";"5";"3";"8";"2";"6";"2";"3";"24";"-";"-"
"Lindoeste (PR)";"119";"2";"-";"7";"-";"-";"3";"57";"11";"5";"-";"-";"1";"1";"5";"6";"8";"4";"-";"9";"-";"-"
"Loanda (PR)";"963";"7";"-";"197";"-";"4";"25";"435";"47";"38";"11";"9";"4";"30";"37";"3";"33";"30";"6";"47";"-";"-"
"Lobato (PR)";"170";"4";"-";"23";"-";"3";"12";"60";"17";"5";"-";"-";"2";"10";"4";"3";"4";"4";"6";"13";"-";"-"
"Londrina (PR)";"26449";"168";"13";"2124";"-";"60";"1581";"10357";"922";"1475";"672";"472";"712";"1659";"2989";"8";"679";"949";"335";"1274";"-";"-"
"Luiziana (PR)";"153";"7";"1";"19";"-";"-";"4";"85";"6";"9";"-";"-";"1";"2";"3";"2";"4";"2";"2";"6";"-";"-"
"Lunardelli (PR)";"220";"2";"-";"17";"-";"-";"8";"123";"9";"16";"-";"-";"4";"6";"6";"2";"7";"6";"2";"12";"-";"-"
"Lupionópolis (PR)";"126";"-";"-";"13";"-";"-";"3";"57";"7";"7";"1";"-";"-";"3";"4";"2";"6";"3";"2";"18";"-";"-"
"Mallet (PR)";"459";"25";"-";"54";"-";"-";"7";"185";"106";"16";"2";"1";"4";"7";"6";"3";"12";"12";"4";"15";"-";"-"
"Mamborê (PR)";"389";"10";"-";"26";"-";"-";"7";"182";"28";"17";"5";"2";"2";"17";"14";"8";"16";"11";"9";"35";"-";"-"
"Mandaguaçu (PR)";"889";"2";"-";"105";"-";"3";"50";"362";"108";"37";"13";"4";"29";"33";"40";"4";"19";"20";"11";"49";"-";"-"
"Mandaguari (PR)";"1396";"10";"1";"277";"-";"5";"54";"621";"73";"35";"22";"24";"41";"38";"55";"2";"25";"35";"22";"56";"-";"-"
"Mandirituba (PR)";"942";"12";"6";"195";"-";"23";"52";"296";"76";"33";"61";"6";"4";"49";"59";"3";"20";"4";"9";"34";"-";"-"
"Manfrinópolis (PR)";"71";"-";"-";"7";"-";"-";"-";"25";"7";"-";"-";"-";"-";"1";"1";"2";"10";"2";"-";"16";"-";"-"
"Mangueirinha (PR)";"384";"8";"-";"31";"1";"-";"13";"174";"47";"26";"6";"2";"-";"22";"10";"3";"11";"11";"5";"14";"-";"-"
"Manoel Ribas (PR)";"271";"3";"1";"29";"1";"-";"11";"130";"40";"19";"2";"1";"-";"5";"5";"2";"7";"2";"4";"9";"-";"-"
"Marechal Cândido Rondon (PR)";"2465";"22";"5";"257";"1";"11";"100";"1006";"219";"114";"38";"26";"30";"91";"128";"5";"65";"97";"41";"209";"-";"-"
"Maria Helena (PR)";"116";"4";"-";"21";"-";"-";"4";"51";"12";"5";"-";"1";"-";"1";"2";"2";"3";"2";"2";"6";"-";"-"
"Marialva (PR)";"1590";"16";"1";"233";"-";"2";"81";"659";"197";"85";"15";"14";"25";"63";"69";"3";"37";"27";"10";"53";"-";"-"
"Marilândia do Sul (PR)";"320";"6";"-";"38";"-";"3";"16";"141";"11";"17";"1";"3";"1";"10";"8";"3";"14";"7";"3";"38";"-";"-"
"Marilena (PR)";"148";"3";"4";"18";"-";"-";"6";"70";"8";"3";"1";"1";"3";"1";"3";"3";"3";"3";"3";"15";"-";"-"
"Mariluz (PR)";"220";"1";"-";"12";"-";"2";"3";"93";"50";"5";"1";"-";"1";"9";"3";"3";"11";"5";"2";"19";"-";"-"
"Maringá (PR)";"24161";"114";"4";"2324";"2";"64";"1311";"9267";"1064";"1462";"564";"556";"704";"1422";"2335";"7";"552";"1160";"273";"976";"-";"-"
"Mariópolis (PR)";"227";"2";"-";"36";"-";"-";"13";"101";"26";"9";"5";"2";"1";"8";"5";"2";"2";"2";"4";"9";"-";"-"
"Maripá (PR)";"225";"3";"1";"29";"-";"2";"8";"72";"14";"16";"4";"-";"-";"4";"3";"2";"8";"5";"9";"45";"-";"-"
"Marmeleiro (PR)";"593";"2";"-";"91";"1";"2";"27";"257";"89";"26";"5";"2";"4";"16";"7";"5";"8";"16";"9";"26";"-";"-"
"Marquinho (PR)";"56";"-";"-";"2";"-";"-";"2";"34";"3";"2";"-";"-";"-";"2";"2";"1";"2";"1";"-";"5";"-";"-"
"Marumbi (PR)";"125";"7";"1";"21";"-";"1";"3";"50";"16";"4";"2";"1";"1";"4";"4";"2";"1";"2";"2";"3";"-";"-"
"Matelândia (PR)";"533";"8";"1";"64";"-";"-";"19";"222";"65";"29";"5";"4";"5";"23";"15";"2";"18";"19";"7";"27";"-";"-"
"Matinhos (PR)";"1615";"1";"6";"54";"-";"6";"66";"562";"31";"183";"10";"6";"20";"33";"521";"14";"31";"18";"15";"38";"-";"-"
"Mato Rico (PR)";"34";"1";"-";"-";"-";"-";"1";"20";"-";"-";"1";"-";"-";"1";"4";"2";"3";"-";"-";"1";"-";"-"
"Mauá da Serra (PR)";"252";"5";"-";"24";"-";"1";"7";"131";"25";"21";"1";"1";"3";"7";"6";"2";"3";"5";"2";"8";"-";"-"
"Medianeira (PR)";"1995";"14";"-";"201";"1";"5";"86";"825";"232";"101";"41";"21";"38";"72";"71";"4";"50";"90";"28";"115";"-";"-"
"Mercedes (PR)";"209";"5";"-";"30";"-";"2";"3";"61";"18";"7";"-";"-";"4";"4";"5";"3";"10";"6";"11";"40";"-";"-"
"Mirador (PR)";"21";"-";"-";"3";"-";"-";"1";"9";"-";"1";"-";"-";"-";"-";"2";"2";"1";"-";"-";"2";"-";"-"
"Miraselva (PR)";"82";"4";"-";"5";"-";"2";"2";"28";"20";"3";"1";"-";"-";"2";"3";"2";"3";"2";"2";"3";"-";"-"
"Missal (PR)";"540";"4";"-";"59";"-";"1";"6";"224";"67";"13";"6";"2";"8";"15";"9";"2";"26";"10";"18";"70";"-";"-"
"Moreira Sales (PR)";"283";"6";"-";"28";"-";"2";"4";"145";"32";"10";"2";"-";"-";"6";"4";"7";"12";"8";"4";"13";"-";"-"
"Morretes (PR)";"476";"8";"4";"25";"-";"4";"23";"182";"25";"85";"6";"3";"3";"20";"21";"2";"11";"7";"8";"39";"-";"-"
"Munhoz de Melo (PR)";"120";"5";"-";"21";"-";"1";"4";"53";"8";"2";"1";"-";"-";"3";"3";"3";"3";"4";"1";"8";"-";"-"
"Nossa Senhora das Graças (PR)";"92";"1";"1";"10";"-";"-";"1";"45";"17";"6";"-";"-";"1";"2";"1";"1";"-";"1";"-";"5";"-";"-"
"Nova Aliança do Ivaí (PR)";"19";"-";"-";"7";"-";"-";"-";"4";"1";"-";"-";"-";"-";"-";"1";"3";"1";"1";"-";"1";"-";"-"
"Nova América da Colina (PR)";"80";"3";"1";"5";"-";"1";"5";"33";"5";"3";"2";"-";"2";"2";"6";"1";"2";"1";"-";"8";"-";"-"
"Nova Aurora (PR)";"446";"7";"1";"29";"-";"-";"16";"177";"46";"21";"9";"3";"5";"11";"12";"2";"21";"21";"7";"58";"-";"-"
"Nova Cantu (PR)";"106";"1";"-";"4";"-";"-";"3";"55";"12";"5";"1";"-";"-";"4";"2";"1";"-";"5";"-";"13";"-";"-"
"Nova Esperança (PR)";"1013";"13";"-";"163";"-";"1";"28";"457";"64";"52";"14";"17";"14";"34";"50";"3";"24";"29";"10";"40";"-";"-"
"Nova Esperança do Sudoeste (PR)";"164";"-";"-";"19";"-";"3";"6";"74";"31";"5";"1";"2";"2";"5";"6";"2";"-";"2";"-";"6";"-";"-"
"Nova Fátima (PR)";"233";"1";"1";"16";"-";"1";"7";"127";"3";"22";"1";"-";"2";"9";"8";"2";"7";"8";"5";"13";"-";"-"
"Nova Laranjeiras (PR)";"176";"4";"-";"10";"-";"-";"7";"59";"28";"8";"1";"-";"1";"9";"4";"2";"15";"4";"1";"23";"-";"-"
"Nova Londrina (PR)";"417";"6";"1";"37";"-";"5";"13";"199";"50";"21";"5";"4";"2";"13";"12";"3";"8";"20";"2";"16";"-";"-"
"Nova Olímpia (PR)";"176";"1";"-";"21";"-";"-";"9";"89";"17";"8";"-";"-";"1";"4";"3";"3";"5";"2";"1";"12";"-";"-"
"Nova Santa Bárbara (PR)";"93";"3";"-";"12";"-";"1";"6";"42";"9";"4";"-";"1";"3";"2";"1";"2";"-";"1";"2";"4";"-";"-"
"Nova Santa Rosa (PR)";"365";"6";"-";"63";"-";"-";"8";"118";"35";"18";"4";"2";"1";"9";"6";"2";"11";"7";"8";"67";"-";"-"
"Nova Prata do Iguaçu (PR)";"514";"5";"1";"58";"-";"1";"26";"197";"67";"22";"4";"1";"4";"14";"13";"3";"6";"18";"3";"71";"-";"-"
"Nova Tebas (PR)";"137";"1";"-";"2";"-";"-";"1";"67";"5";"8";"1";"-";"-";"2";"4";"5";"14";"2";"1";"24";"-";"-"
"Novo Itacolomi (PR)";"81";"1";"1";"20";"-";"-";"1";"33";"1";"1";"-";"-";"-";"1";"1";"6";"1";"-";"-";"14";"-";"-"
"Ortigueira (PR)";"355";"9";"3";"33";"1";"1";"16";"171";"33";"24";"3";"-";"1";"10";"9";"3";"14";"6";"1";"17";"-";"-"
"Ourizona (PR)";"93";"1";"-";"10";"-";"1";"2";"38";"9";"6";"-";"-";"1";"3";"4";"4";"3";"3";"2";"6";"-";"-"
"Ouro Verde do Oeste (PR)";"100";"6";"-";"5";"-";"-";"5";"54";"8";"3";"-";"-";"-";"3";"4";"2";"-";"1";"2";"7";"-";"-"
"Paiçandu (PR)";"958";"3";"-";"220";"-";"8";"63";"434";"48";"43";"7";"5";"9";"17";"39";"2";"20";"10";"5";"25";"-";"-"
"Palmas (PR)";"1019";"38";"-";"118";"1";"3";"48";"434";"73";"70";"9";"12";"4";"31";"41";"7";"31";"41";"11";"47";"-";"-"
"Palmeira (PR)";"1121";"26";"2";"91";"-";"3";"25";"569";"96";"64";"13";"4";"9";"37";"40";"3";"37";"24";"12";"66";"-";"-"
"Palmital (PR)";"379";"3";"-";"17";"1";"-";"13";"216";"13";"16";"4";"-";"1";"16";"7";"3";"7";"14";"4";"44";"-";"-"
"Palotina (PR)";"1478";"19";"1";"159";"1";"5";"44";"568";"121";"86";"21";"14";"26";"52";"84";"8";"50";"63";"19";"137";"-";"-"
"Paraíso do Norte (PR)";"312";"1";"4";"33";"-";"-";"11";"166";"19";"11";"3";"1";"1";"10";"3";"2";"11";"8";"7";"21";"-";"-"
"Paranacity (PR)";"267";"-";"1";"35";"-";"1";"21";"108";"33";"14";"3";"2";"-";"7";"5";"3";"9";"11";"3";"11";"-";"-"
"Paranaguá (PR)";"4084";"8";"7";"189";"-";"12";"179";"1656";"473";"477";"31";"27";"33";"130";"335";"5";"131";"110";"58";"223";"-";"-"
"Paranapoema (PR)";"62";"1";"1";"10";"-";"1";"1";"28";"5";"2";"-";"-";"-";"-";"1";"3";"2";"1";"1";"5";"-";"-"
"Paranavaí (PR)";"3331";"37";"1";"371";"-";"4";"133";"1540";"189";"181";"43";"28";"39";"110";"172";"4";"87";"147";"53";"192";"-";"-"
"Pato Bragado (PR)";"274";"5";"-";"40";"-";"3";"13";"110";"17";"17";"1";"1";"3";"14";"10";"2";"3";"7";"2";"26";"-";"-"
"Pato Branco (PR)";"3926";"28";"3";"393";"1";"14";"248";"1549";"261";"200";"102";"52";"52";"198";"274";"2";"78";"216";"66";"189";"-";"-"
"Paula Freitas (PR)";"135";"4";"2";"23";"-";"-";"8";"50";"6";"4";"-";"-";"-";"3";"2";"2";"8";"2";"1";"20";"-";"-"
"Paulo Frontin (PR)";"178";"3";"-";"30";"-";"-";"4";"87";"11";"15";"-";"-";"1";"5";"3";"3";"7";"4";"1";"4";"-";"-"
"Peabiru (PR)";"416";"10";"1";"66";"-";"1";"11";"188";"20";"17";"1";"2";"4";"14";"15";"2";"19";"6";"1";"38";"-";"-"
"Perobal (PR)";"144";"4";"-";"34";"-";"-";"11";"59";"17";"2";"-";"-";"1";"4";"4";"3";"-";"1";"-";"4";"-";"-"
"Pérola (PR)";"441";"2";"-";"130";"-";"2";"10";"167";"4";"23";"4";"6";"11";"12";"16";"3";"8";"8";"5";"30";"-";"-"
"Pérola d'Oeste (PR)";"367";"1";"-";"20";"-";"2";"5";"165";"55";"9";"4";"7";"1";"11";"7";"2";"11";"21";"5";"41";"-";"-"
"Piên (PR)";"294";"3";"1";"37";"-";"2";"12";"134";"29";"22";"5";"1";"2";"6";"11";"2";"8";"5";"4";"10";"-";"-"
"Pinhais (PR)";"5465";"4";"1";"1019";"-";"25";"516";"2039";"255";"289";"138";"60";"68";"279";"334";"5";"137";"79";"51";"166";"-";"-"
"Pinhalão (PR)";"134";"3";"1";"10";"-";"-";"6";"79";"5";"4";"2";"-";"-";"4";"4";"2";"1";"6";"1";"6";"-";"-"
"Pinhal de São Bento (PR)";"47";"-";"-";"9";"-";"-";"2";"23";"4";"-";"-";"-";"1";"-";"2";"2";"1";"1";"1";"1";"-";"-"
"Pinhão (PR)";"494";"17";"-";"37";"2";"1";"36";"222";"14";"26";"5";"3";"1";"12";"14";"11";"35";"9";"1";"48";"-";"-"
"Piraí do Sul (PR)";"491";"12";"3";"39";"-";"1";"13";"233";"33";"30";"4";"3";"1";"8";"24";"3";"24";"15";"11";"34";"-";"-"
"Piraquara (PR)";"1398";"6";"4";"115";"1";"5";"185";"610";"63";"71";"20";"11";"17";"48";"70";"3";"53";"29";"14";"73";"-";"-"
"Pitanga (PR)";"1019";"4";"1";"105";"1";"1";"31";"488";"57";"65";"15";"3";"3";"29";"36";"4";"45";"40";"8";"83";"-";"-"
"Pitangueiras (PR)";"92";"2";"-";"11";"-";"1";"5";"33";"10";"4";"-";"-";"-";"1";"8";"2";"2";"3";"2";"8";"-";"-"
"Planaltina do Paraná (PR)";"150";"3";"-";"17";"-";"1";"7";"70";"6";"9";"-";"-";"-";"2";"3";"2";"2";"4";"5";"19";"-";"-"
"Planalto (PR)";"455";"-";"1";"47";"-";"-";"14";"174";"77";"23";"3";"2";"3";"12";"5";"3";"19";"10";"11";"51";"-";"-"
"Ponta Grossa (PR)";"12770";"98";"19";"964";"-";"27";"845";"5608";"1041";"633";"202";"125";"164";"529";"937";"12";"359";"465";"131";"611";"-";"-"
"Pontal do Paraná (PR)";"933";"3";"1";"40";"-";"4";"45";"469";"22";"162";"5";"3";"6";"11";"93";"2";"15";"11";"10";"31";"-";"-"
"Porecatu (PR)";"432";"8";"-";"26";"-";"-";"9";"200";"55";"26";"3";"3";"1";"13";"16";"2";"15";"16";"3";"36";"-";"-"
"Porto Amazonas (PR)";"123";"7";"3";"14";"-";"1";"3";"54";"4";"8";"2";"2";"-";"4";"1";"2";"4";"2";"2";"10";"-";"-"
"Porto Barreiro (PR)";"40";"-";"-";"1";"-";"-";"3";"16";"5";"3";"-";"-";"-";"1";"1";"5";"3";"-";"-";"2";"-";"-"
"Porto Rico (PR)";"108";"1";"2";"8";"-";"-";"6";"42";"1";"16";"-";"-";"4";"1";"9";"3";"1";"1";"7";"6";"-";"-"
